id	GSM4092753_Control	GSM4092754_Control	GSM4092755_Control	GSM4092756_Treat	GSM4092757_Treat	GSM4092758_Treat
ABCB1	4.7453325	4.27173383333333	4.46042933333333	4.64493733333333	4.325827	4.29207066666667
ABCB10	7.31777583333333	7.36158083333333	6.70712183333333	7.21123566666667	6.94549866666667	7.54616466666667
ABCB11	3.66730766666667	3.8922615	3.55669233333333	3.57047433333333	3.6448535	3.71410016666667
ABCB4	4.17062166666667	3.9125235	3.829893	3.87780933333333	3.71109683333333	3.7710765
ABCB5	4.028394	3.99744883333333	3.8671205	3.86459883333333	3.82089033333333	3.869518
ABCB7	6.27681183333333	7.67634333333333	7.43437683333333	6.7328325	7.391363	7.48800083333333
ABCB8	4.22428641666667	4.22300816666667	4.14902566666667	4.33488316666667	4.23141	4.26475483333333
ABCB9	4.34534316666667	4.12650416666667	4.16426383333333	4.4887545	4.06505366666667	4.24823016666667
ABCC1	5.63343366666667	7.2860335	7.27113833333333	7.306556	6.81254416666667	5.99820766666667
ABCC10	7.0590665	6.31552466666667	6.83298633333333	6.34597583333333	6.063567	6.01358916666667
ABCC11	4.24466116666667	4.09438633333333	4.1034005	4.0050495	3.89892333333333	4.13002233333333
ABCC12	4.049463	3.74352266666667	3.76719683333333	3.76870483333333	3.8662695	3.77893066666667
ABCC13	3.69403916666667	3.75311816666667	3.7593185	3.765822	3.77472633333333	3.67231366666667
ABCC2	3.90153575	4.00062866666667	3.79425883333333	4.11531366666667	4.17695016666667	4.73692616666667
ABCC3	4.08800016666667	4.09501016666667	4.81162066666667	4.12699233333333	4.35109366666667	5.66836216666667
ABCC4	4.31951633333333	4.42441066666667	4.398482	4.00691816666667	4.0664925	4.3219955
ABCC5	5.53008966666667	5.64012216666667	5.37130916666667	5.58354183333333	5.47538266666667	5.3396125
ABCC6P1	3.53981316666667	3.4290755	3.45155766666667	3.7700625	3.358489	3.49982366666667
ABCC8	4.2305475	4.078393	3.96019466666667	4.109873	3.91288516666667	4.02325583333333
ABCC9	5.60167416666667	3.81465316666667	3.98069033333333	4.25697116666667	5.01342433333333	4.1728365
ABCD1	4.339466	4.65011866666667	4.87153116666667	4.27472616666667	4.60139783333333	4.279094
ABCD2	3.59474816666667	3.50113416666667	3.6448535	3.5998565	3.6879515	3.556112
ABCD3	5.61127833333333	5.092632	4.82822383333333	5.13638033333333	4.99512316666667	5.46699583333333
ABCD4	5.08063016666667	5.13477466666667	5.08194733333333	5.0558795	4.84053566666667	4.72155616666667
ABCE1	4.883688	5.49147783333333	4.79149166666667	4.67628766666667	4.9126865	5.2250845
ABCF1	5.7269155	7.69643016666667	7.79588366666667	6.99240666666667	7.48139483333333	7.9681495
ABCF2	5.73608516666667	5.91721333333333	5.84172783333333	5.39475666666667	5.458076	6.00794883333333
ABCF3	5.1524195	5.45370483333333	5.70553516666667	5.6353895	5.44305933333333	5.40822316666667
ABCG1	4.09099016666667	5.37648433333333	7.09802233333333	3.9678015	3.976089	4.00982916666667
ABCG2	3.87144783333333	6.5588375	4.669299	3.92643066666667	4.027698	3.75154383333333
ABCG4	4.018585	3.90148716666667	3.7021725	3.97632633333333	3.775107	3.896356
ABCG5	4.18158816666667	4.082726	4.15527083333333	4.08822016666667	4.08418766666667	3.93029216666667
ABCG8	3.9412505	3.62324766666667	3.834939	3.89737083333333	3.995721	3.79483566666667
