id	GSM317718_Control	GSM317719_Control	GSM317720_Control	GSM317721_Control	GSM317722_Control	GSM317711_Treat	GSM317712_Treat	GSM317713_Treat	GSM317714_Treat	GSM317715_Treat	GSM317716_Treat	GSM317717_Treat
AADAC	2.98049560665682	2.94078282602748	2.88844097243445	2.87887054344333	2.8866417534515	2.91556401850524	2.88517232524773	2.88721790563763	2.86705855628768	2.88113816320627	3.01975389984607	2.8573998506773
AAK1	4.33770791438405	5.16835855648224	5.83077829196819	5.71936035298793	4.80934076514795	3.59542410098933	3.57190334329311	3.55400890892246	3.59445588351226	3.55338279978381	3.74662870059497	3.5483945032673
AAMP	9.0598288137846	9.29681997056475	9.09659881639386	9.02364249791944	8.82227650382438	8.51434646741489	9.07008831930297	8.65836293137226	9.1742064972204	8.95511915796316	8.80403228959072	9.22198425602772
AANAT	1.58391768634062	1.57164268558009	1.57164268558009	1.57875660203446	1.58391768634062	1.58391768634062	1.58391768634062	1.6133833520373	1.58391768634062	1.58391768634062	1.53035694360223	1.59939664164697
AARS	12.2476005339341	12.7796977990318	11.819455343187	11.6487905627283	11.5029458215276	10.5941635256114	11.8380120603738	12.50429241472	11.8445674667986	11.9270521618439	11.8097471072948	11.4203061159091
AASDHPPT	12.328521292225	12.6031515129558	12.3645706426276	12.2510320054876	12.1926713922588	11.5451968984801	12.3507551910239	12.2365758890087	11.933128409053	11.9243774505804	12.0264722385072	11.8380120603738
AASS	4.53755936976682	4.40158225694123	4.40579843138149	4.36897818231116	4.53129960603913	4.49566688726806	4.78858500597054	5.60584725088607	7.14439029780189	6.50252445429487	4.34389849700722	5.878787228111
AATF	10.1210670609219	10.259576405672	9.74259026520772	9.74259026520772	9.40493611666236	10.8148137947935	11.6080942996033	12.0604234064256	10.2620850653952	9.99632622112154	10.7112760096292	10.4934248424525
AATK	6.4490326343101	7.1213294998532	8.92762781275805	8.82834734716431	8.37405252296008	6.83115515109114	6.76041317607034	7.17141350270457	6.71072066610066	6.66698468979236	6.90938125374874	6.48881167975193
ABAT	10.4173693247679	10.0388935006899	10.7007580587844	10.8614616775129	10.354519556284	9.68495795806358	10.3409372426498	10.4639158323268	8.61080995911556	10.5979682037713	10.4551829334157	9.72598351391807
ABCA1	2.73630531006838	2.80572457446511	2.75564742879183	2.83179975025498	2.75970948558389	2.75922554365377	2.74047915473859	2.76838689023964	3.05125928568805	2.87887054344333	2.82217374299744	2.75720318949026
ABCA12	3.52815196800998	3.69301802385032	3.46680644453296	3.47260468954735	3.46469660182931	3.51352916166042	3.4822356472347	3.48937326352203	3.45857533719913	3.48800317926698	3.839445083644	3.45813186770534
ABCA2	7.8555823060885	9.08340895133576	10.3245220918418	10.1708779983355	9.70523362013519	5.86515808363124	6.31599275730517	9.06558510707773	5.5887732221979	6.1381417454105	5.6569475666988	5.28543205847277
ABCA3	10.0857404397197	10.8286478116379	10.290912201014	10.0337302705969	10.0871144120669	8.10011905700443	10.4462623547539	9.83212385570794	10.0328022127334	9.46278824824665	9.44233553934023	9.76628351309121
ABCA4	3.57644924937602	3.65614748034025	3.63010295100285	3.65457079574196	3.60746855678571	3.64679465050451	3.63660590003666	3.60292247191527	3.64977602489094	3.6825772681371	3.83098237281362	3.64238577997033
ABCA5	6.01270275993586	6.8799880715065	5.63400383820607	5.23441761481973	5.61573380956727	5.74293267694409	5.24866159842389	4.99108456941026	5.25363913067812	5.12282333394084	6.63396555419428	4.84457859827852
ABCA6	4.19207920205609	4.64363802773873	3.81476805979922	3.76527960938392	3.88830212832525	3.79831258027829	3.82934193039262	3.77601129157021	3.80985314326843	3.78340373364586	5.22954045243682	3.7270827245336
ABCA8	8.11449116174709	7.75756509702696	8.8925546639453	8.96617044829562	8.88453926580468	8.25525727602335	4.89923509286822	9.53796268089346	8.32806926249397	8.90781960151695	8.44645599801636	7.12903340267624
ABCB1	7.84507138530744	6.40382965284723	7.23916725587487	7.75034244131822	8.64379074344181	9.07316645764384	7.02137948467287	8.91245068276247	6.37015175621579	7.42592490316144	8.05901588455952	6.79191189266942
ABCB10	5.79381466390251	6.60265755729886	5.2774077491607	4.82819964423645	4.79940364263661	4.92029452556557	5.14911003713286	4.82531627598541	5.11985295648993	4.91484015817675	7.29165393374414	4.68833102032942
ABCB11	3.86292302960787	3.88538084036702	3.91644354547754	3.93985690403779	3.94289736247953	4.04359120533451	3.84353274570595	3.93985690403779	3.89148014039679	3.95082418942884	3.70386588220754	3.84903775345241
ABCB4	2.42446025989205	2.42725559256839	2.42725559256839	2.40775647196094	2.44597859542426	2.47343694459187	3.71771581373663	2.45173383219538	5.26514838138544	2.48613860041936	2.39379180311277	2.44597859542426
ABCB6	4.21351999968592	4.05303521557052	4.36561521803593	4.36449165380982	4.02468850545413	4.38338911685849	4.16628960430255	4.06354038477766	5.4346562172346	4.65668810879675	3.87423185253481	5.06260464390099
ABCB7	7.39925073029326	6.47602578264883	7.02721831078562	6.65224991015251	6.82194242624872	9.45968776555629	8.68067206694574	7.96059366968647	8.1565958791813	8.20444410745563	8.21472088105942	8.46548652884019
ABCB8	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.36361210381932	1.35371777300471	1.37573740596495	1.35371777300471
ABCB9	7.89706229615413	7.38702093663178	8.40815065839732	7.96439343091992	6.97422462223813	5.3904267000176	5.50020972108415	5.75260917887465	5.51346116088926	6.10589903904384	5.4189573987816	6.24583602344208
