id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
AATK	8.31623660129802	7.93751612965415	8.26657764643424	6.86268428130425	5.60957343600427	7.48222400110649	6.3573430986236	6.95454578867765
ABAT	7.30151933926563	8.48321967477115	8.63660866641673	8.25943341419672	9.21011439193431	7.90262698700111	8.40704550393746	8.62120983067228
ABCA1	6.44751587478797	6.53163918666789	6.21610573807782	7.94793888217371	7.93199371670714	8.1046699504562	7.62776657930212	8.232512428347
ABCA11P	5.39340447442202	4.71534762111282	4.90835206300467	4.53093730539186	4.37007316018697	5.08475943478524	4.8201191945873	4.09207871334114
ABCA12	3.67854130761758	2.29513256238209	4.73976250469466	3.82821930540546	3.44907656377831	1.38757512197606	3.09747263295661	3.83416128602833
ABCA2	7.00657700872538	6.56240282241068	6.68349851407557	4.74831128313231	4.42589068690093	6.19386150706455	4.84894136742346	4.45875461495394
ABCA3	5.56150210711007	4.43111449737184	5.02250766891242	4.92153836488155	5.1710397562307	4.70149283322064	4.40475387953564	6.13052086866018
ABCA4	2.9464000753899	3.02617608849006	3.29589338904487	2.65231628239584	1.18587932586972	2.9464000753899	2.84094119527323	3.19650065360555
ABCA5	5.75484638137932	5.50771060276515	5.81180460220776	5.53034668575389	6.00354036879666	5.48027097228851	4.1921182603566	4.53170859254662
ABCA6	4.84742351180725	4.56559012069437	3.95864727159494	3.61739524750017	1.9553723654272	1.76603251291607	3.61398744417797	1.55058874961113
ABCA7	3.74087928823149	5.02084824081965	2.88021821590133	4.05291635955745	4.73671049778366	4.83455684350257	4.56522135144195	4.74481442322659
ABCA8	10.1362388593564	8.90430006676415	9.1380681225402	4.8981439261243	6.44751587478797	7.53472595914802	5.56032008275285	7.04757776318653
ABCB1	5.40380002470756	5.33575386063329	5.63761595956135	4.93925020544628	4.5693678792557	5.18761558219224	5.71666699653711	5.44275266299219
ABCB11	1.94877933560988	1.86676560555235	2.77262450438305	3.00193421698394	1.91246766197448	3.16550291616753	2.22885546056311	3.13781551211043
ABCB4	3.01111942817417	2.56972076115492	1.55588832656636	3.72321794940651	3.06663852984299	2.40766418756029	1.95200311074203	2.78507712042648
ABCB6	4.5581578028914	4.77239043389889	4.19881192124888	4.20232301904551	4.88717301631319	5.05619430977787	4.15404847592807	4.82105092349864
ABCB7	4.67286881537079	5.26101170202113	4.92453885252385	5.70424516172874	5.90256659778664	5.75427123188408	6.12141620036172	6.46678552110567
ABCB8	1.88088650700481	2.75220819344549	1.11226435886443	1.26427935041542	2.43931810721827	2.57822285419843	2.06959147667751	1.24994956767947
ABCB9	4.50306851715066	4.95187527421533	2.7268413436104	3.35749851198576	4.3036094686982	4.20561500283448	4.39370739911776	3.88668781909959
ABCC1	4.98492054228294	4.85548581984626	4.81364353929674	5.14357673889705	5.20412878133811	5.67676501918278	6.06087090979115	5.49855207288105
ABCC10	6.41212256253549	6.45942162195201	6.16423748240644	6.21747649027138	6.25584409155792	6.23921388861899	6.56417053190891	6.60266277432285
ABCC2	4.04292382174883	3.04017833703566	1.42494421295638	2.76931665018103	3.49177886936358	2.53428373738429	1.60872437790592	1.73580936657344
ABCC3	2.15758571290974	2.07403300991278	2.16403496522529	2.94096869426074	6.19433544853594	5.51239425048448	5.52984640036717	5.08149427870111
ABCC4	5.76024650892766	5.22255569606576	5.82785703262769	5.81007475130361	5.75427123188408	5.99682598885485	5.29867239050368	4.11355633589526
ABCC5	6.36839311453137	7.02292708630505	6.93251002674223	6.38671658979361	6.57287444099516	6.81620782455923	6.58131811807093	6.38710724420091
ABCC8	3.29669103654859	4.8593816235339	2.57248497429427	3.81997898660514	3.18996205041656	2.77320691186741	2.31375370464191	3.34893767309739
ABCC9	4.28992689935146	3.59300177959702	2.90585874252381	3.25311144464052	2.69019287077308	4.22335531980912	3.79084143219763	4.28219274487713
ABCD1	4.78084921712147	4.59117077998287	4.82767036195974	4.57479543895344	5.04333904963664	5.08985342458444	5.11508048495778	4.96363548149288
ABCD2	4.07477735946849	3.2538126269875	3.01983060819223	2.71955253786354	3.2538126269875	3.55271972442849	4.72589401986719	2.70202528331297
ABCD3	8.40233720384319	7.81274358286479	7.56952792826858	7.90262698700111	7.92878746862817	7.67878268022941	7.96419292753908	8.34101979135104
