id	GSM758396_Control	GSM758397_Control	GSM758398_Control	GSM758399_Treat
AC114752.3	8.01284255825402	7.06429122926916	5.65463655250453	3.60693300981363
AC124997.1	6.23129967865427	3.01114998682661	2.93707161588803	5.32784808969881
AC136289.1	5.27221515939978	6.67443757058529	6.48507993474751	6.377763227
AC139100.3	5.44406649614687	4.77263195908804	5.8477085919057	3.28883392110706
AC141928.1	6.8957132623527	6.08129221176557	6.92244253556039	6.65513895744283
AC144652.1	8.34929832148344	8.51932129089942	8.71781510255017	7.86286514036243
AC145343.2	8.16924830025613	6.21169848470457	6.58898763640386	6.91912194710192
ACAA1	10.3504314712061	10.5387482655404	10.759085062514	9.87865258919719
ACAA2	8.6896666401125	8.52396269543104	7.6198994407008	5.56943255680166
ACACA	10.8188074840019	9.75180783424259	10.1312825404211	8.80847236495532
ACACB	8.62266031484788	8.75040544031019	8.88589863917418	7.87454746094242
ACAD10	6.87551799372225	6.89690163919206	6.51730837112538	7.6953678177489
ACAD8	9.83905845368739	9.57371740367332	9.52834433680371	8.53918886347124
ACAD9	9.54995112283089	9.75354390323997	10.2761754557074	9.55141395744447
ACADL	6.59525705602608	7.38738199481723	4.60139518636103	6.12296613437415
ACADM	12.5334216843249	12.6792441384852	12.2647467437685	12.2234730085636
ACADS	8.58727910163147	7.9232417453426	5.8017683926404	7.36627709510821
ACADSB	9.48210555898601	10.0860893762812	9.79061651991854	8.96849681579982
ACADVL	10.4464482042641	10.405374239594	11.341712090391	10.7956629689949
ACAN	7.47076891675073	7.5096553159462	7.96206842222515	8.6763359983136
ACAP1	6.24277911055183	7.3231542367451	7.46393818210833	6.55017810773212
ACAP2	9.36037109218624	9.13496462266792	9.17547637949376	8.93880603997981
ACAP3	9.07631766565773	8.65315327313531	10.4664949666185	8.18927342686023
ACAT1	10.1880942082443	9.86882122913364	9.15259479480858	9.67138523149831
ACAT2	10.3325957531141	9.84512826994838	9.24201555629374	9.95362423558132
ACBD3	10.0399591686461	10.725722464206	10.1985298858291	11.1604162143128
ACBD4	9.12268725779608	7.84535659112239	9.13560797267186	8.25616327620808
ACBD5	11.5832715329156	11.037384974306	11.4414143578433	11.1169557953576
ACBD6	9.41561684192155	9.63976447021624	8.73157541595836	10.2939238156937
ACCS	8.21873891190079	7.09718598443701	5.37372180629364	7.05128852420993
ACD	8.26672486484553	9.23270951082687	9.97245222674338	9.67403096987611
ACE	6.74978027221008	7.04018068086172	7.13087191309655	6.49646497307718
ACE2	6.34028394555909	5.57911401970934	5.17610014743193	6.88086415672205
ACER1	6.68540868598239	5.12699737719854	5.73812328291753	4.15983748189498
ACER3	9.43616585350641	8.80170561000945	9.539980645	10.2775892822806
ACHE	5.64389605351744	8.63871336007246	7.86556331968675	5.40341109533955
ACIN1	8.97714664071735	9.79750392883692	9.5178548764618	8.83370134742434
ACKR1	7.70344499896313	8.93955863831449	9.18143947659706	7.55326194889076
ACKR2	6.64015789607832	5.50100693810669	5.08341870068645	6.49264338708759
ACKR3	8.87706323320598	7.32347778511672	6.1098550701412	9.05970338906287
ACKR4	6.40396683483302	6.55227979361476	7.20427763331024	6.21251641057648
ACLY	9.78338777344064	10.3622461823183	10.1632638732007	10.8655014616308
ACMSD	7.22308156800777	5.48782399127413	4.47914668168095	7.03701574298301
ACN9	8.71544251681465	7.9790512583916	6.92175434549716	8.81477179215089
ACO1	9.04880399647518	9.10367674876103	8.71052414428485	8.86117858062514
ACO2	11.304243463217	11.1342414086164	10.5242187742802	10.5556990576054
ACOT11	7.07053987598923	6.66056789878876	6.81448035730822	6.03147518381484
ACOT12	6.7603943024748	6.3217114852242	6.0712847165763	6.70111196249918
ACOT13	10.3387130438452	9.55659459938762	10.0171444414862	10.3382456159511
ACOT4	8.05584018085019	7.69903106931323	6.93247173992613	6.81625822597567
ACOT6	4.79733499292169	4.6372945966625	4.44736389835538	3.61449712546275
ACOT7	10.7081384451465	10.5384610566014	9.84456621073859	9.79032343937647
ACOT8	8.78753381501002	8.76653320764992	8.8328789457543	8.99483097805225
ACOT9	9.20456664537552	9.24952608222997	7.87722658749764	9.54742708621396
ACOX1	8.67125057563803	8.80381730736385	8.25092555107341	8.92570154742961
ACOX2	8.52754521115988	8.29113234849026	6.48597530588504	7.73582899182184
ACOX3	7.50574134830203	7.37146677222453	7.78991216835469	8.27875891337459
ACOXL	6.05687754737791	6.21339352760601	5.45425362774047	4.25570824679433
ACP1	10.5175471561047	10.0939131550036	10.0064904584668	10.7433156066702
ACP2	10.3627156556478	10.252378322557	10.1727496041079	10.9994961218972
ACP5	4.0725505289386	6.1536403868781	5.12699737719854	7.26568206612011
ACP6	8.72042590259162	8.25864877610291	8.65593998738981	9.56112428664886
ACPP	5.90161466034295	4.67626306257316	5.15326994187367	6.57977479289294
ACPT	8.05722185229774	6.82832366925198	7.50121843254209	7.30762557999744
ACR	7.69432612166588	6.95002132820107	5.71314730007636	4.382464396
ACRBP	6.25837413222628	7.08602006276578	6.97678278035076	6.79380449947321
ACRC	5.94463496560103	8.36694595261784	7.8610284458942	7.61933860227822
ACRV1	7.81421857814584	6.96798117655506	7.79683031747789	7.4710429715642
ACSBG1	10.7355836133888	9.4151518093872	9.30304620956043	8.38979368592149
ACSBG2	7.44396277160856	7.18283374005938	3.92545969075744	6.41536653977894
ACSF2	8.72718255008207	9.87322533029654	10.0153702683852	6.55039226025014
ACSF3	6.89904477192883	7.30484729995782	7.35758187738791	7.16542367396278
ACSL1	10.2944466719262	10.2591360473829	11.3256563321539	11.3031921608446
ACSL3	12.2118574504686	11.8802813868803	11.8098606340549	10.606585418045
ACSL4	7.50178439954163	8.18262357014918	8.19299755453386	7.96640074707596
ACSL5	8.26930972240383	7.94377846095618	7.4710429715642	7.23262530798426
ACSL6	10.284787495177	10.415559772063	9.88685151731332	7.04238317373878
ACSM1	4.74078868842241	4.39554493723164	4.71259147261539	6.18352053875454
ACSM2A	5.11202722877754	4.5513091654643	5.67919767864698	6.08036629647226
ACSM2B	7.31042465840227	5.47383985036575	3.87629590035093	3.4131039618888
ACSM3	5.34488730465512	6.74278946323865	4.5916218956633	5.22041584367727
ACSM5	9.24116374852128	7.73183588674245	8.06730734703032	7.69302416979511
ACSS1	7.42602482399165	7.18535568271996	7.53787882659943	6.47364075449922
ACSS2	9.10882470391018	8.91415016570382	9.76784417401704	8.90058107302738
ACSS3	8.77787309700088	8.286582818	7.66265850512291	7.69817793283348
ACTA1	5.2082912273355	6.96348549171319	7.76908037591769	5.96107118833528
ACTA2	9.02293583341291	10.0045204814036	8.48432962532049	10.5730680448231
ACTA2-AS1	4.37598555001085	6.87551799372225	6.91277955245026	5.9644799244316
ACTB	15.3245829079783	14.9907300670481	15.2871118194454	15.0073751619544
ACTC1	9.33722161353723	8.31559257192325	8.53005756393821	9.07968046909613
ACTG2	6.87530568871938	6.62120832226216	6.90890012853303	7.86985249319824
ACTL10	4.34876774177591	5.42138391247054	5.56872210615553	6.17539834647612
ACTL6A	7.98847490639219	8.17507928057305	8.29441962739124	10.1471389054107
ACTL6B	8.86272699427331	9.58715022994936	9.44019705102114	6.24990764877212
ACTL7A	4.82539159642551	3.62071495184723	4.69459628156852	4.95786023673005
ACTL7B	4.50181389290199	4.25541660751912	4.85002961358729	3.88507643473369
ACTL8	5.56464187573697	4.43883592052196	4.9262668393469	4.03853565617149
ACTL9	4.3457881694182	3.70109791300451	3.32604810837057	2.47630460109323
ACTN1	9.68551634072374	7.623905682	7.81210967193109	10.9811002116309
ACTN2	8.33245782494927	6.5397543043239	6.74069378160961	6.13458420912688
ACTN3	7.77574939980663	6.56224783970558	4.62885587871778	3.97995817243754
